name,icao,iata,country,callsign
Solomon Airlines,SOL,IE,Solomon Islands,SOLOMON
Southern Air,SOO,,United States,SOUTHERN AIR
Solinair,SOP,,Slovenia,SOLINAIR
Saratov Aviation Division,SOV,6W,Russia,SARATOV AIR
Sat Airlines,SOZ,HZ,Kazakhstan,SATCO
Sierra Pacific Airlines,SPA,,United States,SIERRA PACIFIC
Springdale Air Service,SPG,,United States,SPRING AIR
Servicios Aereos Palenque,SPQ,,Mexico,SERVICOS PALENQUE
Shuttle America,TCF,S5,United States,MERCURY
Scat Air,VSV,DV,Kazakhstan,VLASTA
TAME,TAE,EQ,Ecuador,TAME
TAM Brazilian Airlines,TAM,JJ,Brazil,TAM
TAP Portugal,TAP,TP,Portugal,AIR PORTUGAL
Tunisair,TAR,TU,Tunisia,TUNAIR
Travelair,TAX,,Germany,TRAVELAIR
TNT Airways,TAY,3V,Belgium,QUALITY
Transbrasil,TBA,,Brazil,TRANSBRASIL
Tropical Airways,TBG,M7,Haiti,
Teebah Airlines,TBN,,Sierra Leone,TEEBAH
Thai Air Cargo,TCG,T2,Thailand,THAI CARGO
Thomas Cook Airlines,TCW,FQ,Belgium,THOMAS COOK
Thomas Cook Airlines,TCX,MT,United Kingdom,KESTREL
Tandem Aero,TDM,TQ,Moldova,TANDEM
Trade Air,TDR,,Croatia,TRADEAIR
Teamline Air,TLW,L9,Austria,Teamline
Transeuropean Airlines,TEP,UE,Russia,TRANSEURLINE
TAG Aviation Espana,TGM,,Spain,TAG ESPANA
Trigana Air Service,TGN,,Indonesia,TRIGANA
Titan Airways,AWC,ZT,United Kingdom,ZAP
Tiger Airways,TGW,TR,Singapore,GO CAT
Tiger Airways Australia,TGW,TT,Australia,GO CAT
Thai Airways International,THA,TG,Thailand,THAI
Thai AirAsia,AIQ,FD,Thailand,THAI ASIA
Turkish Airlines,THY,TK,Turkey,TURKAIR
TEAM Transportes Aereos,TIM,,Brazil,TEAM BRASIL
Taino Tours,TIN,,Dominican Republic,TAINO
Transcarga Intl Airways,TIW,,Venezuela,TIACA
Tajikair,TJK,,Tajikistan,TAJIKAIR
Tyrolean Jet Service,TJS,,Austria,TYROLJET
Twin Jet,TJT,T7,France,TWINJET
Thai Sky Airlines,TKY,9I,Thailand,THAI SKY
Tulip Air,TLP,TD,Netherland,TULIPAIR
Tunisavia,TAJ,,Tunisia,TUNISAVIA
Travelair,TLV,,Uruguay,PAJAROS
Trans Mediterranean Airlines,TMA,TL,Lebanon,TANGO LIMA
Tri-MG Intra Asia Airlines,TMG,GY,Indonesia,TRILINES
Trans Midwest Airlines,TMT,,United States,TRANS MIDWEST
Tiara Air,TNM,3P,Aruba,TIARA
Tobruk Air,TOB,7T,Libya,TOBRUK AIR
Tol-Air Services,TOL,TI,United States,TOL AIR
Thomsonfly,TOM,BY,United Kingdom,TOMSON
Toronto Airways,TOR,,Canada,TORONTAIR
Tropic Air,TOS,PM,Belize,TROPISER
Tower Air,TOW,FF,United States,TEE AIR
TAMPA,TPA,QT,Colombia,TAMPA
Trans American Airlines (Trans Am),TPU,,Peru,TRANS PERU
TransAsia Airways,TNA,GE,Taiwan,TransAsia
Transavia Holland,TRA,HV,Netherlands,TRANSAVIA
TACV,TCV,VR,Portugal,CABOVERDE
Trans Euro Air,TRJ,,United Kingdom,HIGH TIDE
Turdus Airways,TRQ,,Netherland,HUNTER
TransMeridian Airlines,TRZ,T9,United States,TRANS-MERIDIAN
Transmile Air Services,TSE,TH,Malaysia,TRANSMILE
Trans-Air-Congo,TSG,,Republic of the Congo,TRANS-CONGO
Trast Aero,TSJ,S5,Kyrgyzstan,TRAST AERO
Transwest Air,ABS,9T,Canada,ATHABASKA
Transaero Airlines,TSO,UN,Russia,TRANSOVIET
Thai Star Airlines,TSX,T9,Thailand,THAI STAR
Total Linhas Aereas,TTL,,Brazil,TOTAL
Turkmenistan Airlines,TUA,T5,Turkmenistan,TURKMENISTAN
Tuninter,TUI,UG,Tunisia,
Tulpar Air,TUL,,Russia,URSAL
Tulpar Air Service,TUX,,Kazakhstan,TULPA
Travel Service,TVL,,Hungary,TRAVEL SERVICE
Tavrey Airlines,TVR,T6,Ukraine,TAVREY
Travel Service,TVS,QS,Czech Republic,SKYTRAVEL
Trans World Airlines,TWA,TW,United States,TWA
Transaviaexport,TXC,AL,Belarus,TRANSEXPORT
TUIfly Nordic,BLX,6B,Sweden,BLUESCAN
Transportes Aereos Bolivianos,BOL,,Bolivia,BOL
Tiphook PLC,BOX,,United Kingdom,BOX
Triple Alpha,CLU,,Germany,CAROLUS
TAAG Angola Airlines,DTA,DT,Angola,DTA
Tassili Airlines,DTH,SF,Algeria,TASSILI AIR
TAG Aviation,FPG,,Switzerland,TAG AVIATION
Tradewind Aviation,GPD,,United States,GOODSPEED
Transaviabaltika,KTB,,Lithuania,TRANSBALTIKA
TAM Mercosur,LAP,PZ,Paraguay,PARAGUAYA
The Lancair Company,LCC,,United States,LANCAIR
Trans States Airlines,LOF,AX,United States,WATERSKI
TNT International Aviation,NTR,,United Kingdom,NITRO
Open Skies Consultative Commission,OSY,1L,United States,OPEN SKIES
Tarom,ROT,RO,Romania,TAROM
Transportes Aereos I.R. Crusoe,ROU,,Chile,ROBINSON CRUSOE
Turan Air,URN,3T,Azerbaijan,TURAN
TRIP Linhas A,TIB,8R,Brazil,TRIP
Trans-Ulgii,UTN,,Mongolia,TRANS-ULGII
Travel Express Aviation Services,XAR,,Indonesia,TRAVEL EXPRESS
United Kingdom Civil Aviation Authority,EXM,,United Kingdom,EXAM
USA3000 Airlines,GWY,U5,United States,GETAWAY
United Airlines,UAL,UA,United States,UNITED
United Eagle Airlines,UEA,,China,UNITED EAGLE
USA Jet Airlines,JUS,U7,United States,JET USA
Ural Airlines,SVR,U6,Russia,SVERDLOVSK AIR
Urgemer Canarias,UGC,,Spain,URGEMER
Ukraine Air Alliance,UKL,,Ukraine,UKRAINE ALLIANCE
UM Airlines,UKM,UF,Ukraine,UKRAINE MEDITERRANEE
Ukraine Air Enterprise,UKN,,Ukraine,ENTERPRISE UKRAINE
Ukrainian Cargo Airways,UKS,6Z,Ukraine,CARGOTRANS
United Parcel Service,UPS,5X,United States,UPS
US Airways,USA,US,United States,U S AIR
UTair Aviation,UTA,UT,Russia,UTAIR
Uzbekistan Airways,UZB,HY,Uzbekistan,UZBEK
Ukraine International Airlines,AUI,PS,Ukraine,UKRAINE INTERNATIONAL
V Australia Airlines,VAU,VA,Australia,KANGA
Valuair,VLU,VF,Singapore,VALUAIR
Van Air Europe,VAA,,Czech Republic,EUROVAN
Vasco Air,VFC,,Vietnam,VASCO AIR
Vega,VAG,,Kazakhstan,SEGA
Voyageur Airways,VAL,VC,Canada,VOYAGEUR
Vietnam Airlines,HVN,VN,Vietnam,VIET NAM AIRLINES
VIM Airlines,MOV,NN,Russia,MOV AIR
Victoria Aviation,ENV,,United Kingdom,ENDEAVOUR
VIP Avia,PRX,,Latvia,PAREX
Volaris,VOI,Y4,Mexico,VOLARIS
Volga-Dnepr Airlines,VDA,VI,Russia,VOLGA-DNEPR
Virgin America,VRD,VX,United States,REDWOOD
Virgin Express,VEX,TV,Belgium,VIRGIN EXPRESS
Virgin Nigeria Airways,VGN,VK,Nigeria,VIRGIN NIGERIA
Vibroair Flugservice,VIB,,Germany,VITUS
VIF Luftahrt,VIF,,Austria,VIENNA FLIGHT
Virgin Atlantic Airways,VIR,VS,United Kingdom,VIRGIN
Viva Macau,VVM,ZG,Macao,JACKPOT
Volare Airlines,VLE,VE,Italy,VOLA
Vueling Airlines,VLG,VY,Spain,VUELING
Vladivostok Air,VLK,XF,Russia,VLADAIR
Varig Log,VLO,LC,Brazil,VELOG
Viaggio Air,VOA,VM,Bulgaria,VIAGGIO
Virgin Australia,VOZ,VA,Australia,VIRGIN
Virgin Blue,VBI,DJ,Australia,BLUEY
Volare Airlines,VRE,,Ukraine,UKRAINE VOLARE
VRG Linhas Aereas,VRN,RG,Brazil,VARIG
Vickers Limited,VSB,,United Kingdom,VICKERS
VASP,VSP,VP,Brazil,VASP
VLM Airlines,VLM,VG,Belgium,RUBENS
WDL Aviation,WDL,,Germany,WDL
Walter I Linkoping,GOT,,Sweden,GOTHIC
Wapiti Aviation,WPT,,Canada,WAPITI
Warbelow's Air Ventures,WAV,,United States,WARBELOW
Warwickshire Aerocentre Ltd.,ATX,,United Kingdom,AIRTAX
Wasaya Airways,WSG,,Canada,WASAYA
WebJet Linhas A,WEB,WJ,Brazil,WEB-BRASIL
Welcome Air,WLC,2W,Austria,WELCOMEAIR
West Air Luxembourg,WLX,,Luxembourg,WEST LUX
West Air Sweden,SWN,PT,Sweden,AIR SWEDEN
WestJet,WJA,WS,Canada,WESTJET
Westair Aviation,WAA,,Namibia,WESTAIR WINGS
Westair Industries,PCM,,United States,PAC VALLEY
Westcoast Energy,BLK,,Canada,BLUE FLAME
Western Air,WST,,Bahamas,WESTERN BAHAMAS
Western Air Express,WAE,,United States,WESTERN EXPRESS
Western Airlines,WAL,WA,United States,WESTERN
Western Arctic Air,WAL,,Canada,WESTERN ARCTIC
Westward Airways,WWD,CN,United States,WESTWARD
White,WHT,,Portugal,YOUNG SKY
Widerøe,WIF,WF,Norway,WIDEROE
Wiggins Airways,WIG,,United States,WIGGINS AIRWAYS
Wind Jet,JET,IV,Italy,GHIBLI
Windrose Air,QGA,,Germany,QUADRIGA
Windward Islands Airways International,WIA,,Netherland,WINDWARD
Wings Air,WON,IW,Indonesia,WINGS ABADI
Wings of Alaska,WAK,K5,United States,WINGS ALASKA
Wings of Lebanon Aviation,WLB,,Lebanon,WING LEBANON
Winlink,WIN,,Saint Lucia,WINLINK
Wizz Air,WZZ,W6,Hungary,WIZZ AIR
Wizz Air Hungary,WVL,8Z,Bulgaria,WIZZBUL
Woodgate Executive Air Charter,CWY,,United Kingdom,CAUSEWAY
World Airways,WOA,WO,United States,WORLD
Worldwide Air Charter Systems,CSW,,Canada,CHARTER SYSTEMS
Wright Air Service,WRF,8V,United States,WRIGHT FLYER
XL Airways France,SEU,SE,France,STARWAY
Xiamen Airlines,CXA,MF,China,XIAMEN AIR
Xtra Airways,CXP,XP,United States,RUBY MOUNTAIN
Yamal Airlines,LLM,YL,Russia,YAMAL
Yangtze River Express,YZR,Y8,China,YANGTZE RIVER
Yemenia,IYE,IY,Yemen,YEMENI
Zagros Airlines,IZG,,Iran,ZAGROS
Zambian Airways,MBN,Q3,Zambia,ZAMBIANA
Zanair,TAN,,Tanzania,ZANAIR
Zip,WZP,3J,Canada,ZIPPER
Zimex Aviation,IMX,C4,Switzerland,ZIMEX
Zoom Airlines,OOM,Z4,Canada,ZOOM
buzz,BUZ,UK,,
Sky Express,SXR,XW,Russia,SKYSTORM
Royal Air Cambodge,RAC,VJ,Cambodia,
Air Busan,ABL,BX,Republic of Korea,Air Busan
TUI Airlines Belgium,TUB,TB,Belgium,BEAUTY
Braathens,BRA,BU,Norway,Braathens
Globus,GLP,GH,Russia,
Air Kazakhstan,KZK,9Y,Kazakhstan,Kazakh
Japan Air System,JAS,JD,Japan,Air System
United Airways,UBD,4H,Bangladesh,UNITED BANGLADESH
Trans Maldivian Airways,TMW,M8,Maldives,
Fly540,FFV,5H,Kenya,SWIFT TANGO
Transavia France,TVF,TO,France,FRENCH SUN
Island Air (WP),MKU,WP,United States,
Uni Air,UIA,B7,Taiwan,Glory
NordWind Airlines,NWS,,Russia,NORDLAND
Red Wings,RWZ,WZ,Russia,AIR RED
Hellenic Star Airways,HST,,Greece,Hellenic Star
Felix Airways,FXX,FU,Yemen,
Kostromskie avialinii,KOQ,K1,Russia,
Greenfly,GFY,XX,Spain,
ELK Airways,ELK,--,Estonia,
Gabon Airlines,GBK,GY,Gabon,GABON AIRLINES
Maldivo Airlines,MAV,ML,Maldives,Maldivo
Virgin Pacific,VNP,VH,Fiji,
Eastar Jet,ESR,ZE,South Korea,Eastar
Jin Air,JNA,LJ,South Korea,Jin Air
Baltic Air lines,BA1,B1,Latvia,Baltic
Ciel Canadien,YCC,YC,Canada,Ciel
Canadian National Airways,YCP,CN,Canada,CaNational
Epic Holiday,4AA,FA,United States,Epic
Line Blue,LBL,L8,Germany,Bluebird
Blue Sky America,BKY,BU,United States,
Texas Spirit,TXP,XS,United States,
Illinois Airways,ILW,IL,United States,
Texas Wings,TXW,TQ,United States,TXW
California Western,CWS,KT,United States,
Dennis Sky,DSY,DH,Israel,DSY
Atifly,A1F,A1,United States,atifly
CanXpress,CA1,C1,Canada,CAX
Sharp Airlines,SHA,SH,Australia,SHARP
CanXplorer,CAP,C2,Canada,
World Experience Airline,WE1,W1,Canada,WEA
Tianjin Airlines,GCR,,China,
Locair,LOC,ZQ,United States,LOCAIR
SeaPort Airlines,SQH,K5,United States,SASQUATCH
Fly Illi,ILY,IL,United States,
Star1 Airlines,HCW,V9,Lithuania,
MexicanaLink,MXI,I6,Mexico,LINK
Island Spirit,ISX,IP,Iceland,
Orbest,OBS,,Portugal,ORBEST
Air Century,CEY,,Dominican Republic,
Regional Paraguaya,REP,P7,Paraguay,REGIOPAR
EasyFly,EFY,,Colombia,EASYFLY
CEIBA Intercontinental,CEL,,Equatorial Guinea,CEIBA LINE
AlMasria Universal Airlines,LMU,UJ,Egypt,ALMASRIA
KoralBlue Airlines,KBR,K7,Egypt,KORAL BLUE
Wind Rose Aviation,WRC,,Ukraine,WIND ROSE
Elysian Airlines,GIE,E4,Cameroon,
Hellenic Imperial Airways,IMP,HT,Greece,IMPERIAL
Amsterdam Airlines,AAN,WD,Netherlands,AMSTEL
Arik Niger,NAK,Q9,Niger,
STP Airways,STP,8F,Sao Tome and Principe,SAOTOME AIRWAYS
Skyjet Airlines,SJU,UQ,Uganda,SKYJET
Royal Falcon,RFJ,RL,Jordan,
Euroline,MJX,4L,Georgia,GEO-LINE
Worldways,WGC,WG,Canada,
Viking Hellas,VKH,VQ,Greece,DELPHI
Norlandair,FNA,,Iceland,NORLAND
Euro Harmony,EHM,EH,Portugal,
Gadair European Airlines,GDR,GP,Spain,GADAIR
Spirit of Manila Airlines,MNP,SM,Philippines,MANILA SKY
Chongqing Airlines,CQN,OQ,China,CHONG QING
Grand China Air,GDC,,China,GRAND CHINA
West Air China,CHB,PN,China,WEST CHINA
QatXpress,QAX,C3,Qatar,
OneChina,1CH,1C,China,
Joy Air,JOY,JR,China,JOY AIR
Fars Air Qeshm,QFZ,,Iran,FARS AIR
Parmiss Airlines (IPV),IPV,PA,Iran,IPV
EuropeSky,EUV,ES,Germany,EuropeSky
BRAZIL AIR,BZE,GB,Brazil,BRAZIL AIR
Homer Air,OME,MR,Germany,
Court Line,???,??,United Kingdom,
South West Africa Territory Force,***,??,Namibia,
Lombards Air,---,++,South Africa,
U.S. Air,--+,-+,United States,
Flitestar,===,GM,South Africa,
Jayrow,\\'\\,\\',Australia,
Llloyd Helicopters,:::,::,Australia,
PanAm World Airways,PQW,WQ,United States,
Virginwings,VWA,YY,Germany,
KSY,KSY,KY,Greece,KSY
Buquebus Líneas Aéreas,BQB,BQ,Uruguay,
SOCHI AIR,KOL,CQ,Russia,SLOW FROG
Wizz Air Ukraine,WAU,WU,Ukraine,WIZZAIR UKRAINE
88,VVN,47,Cyprus,
LCM AIRLINES,LMM,LQ,Russia,
Aero Brazil,BZL,BZ,Brazil,
THREE,T33,H3,China,
Tom\\'s & co airliners,T&O,&T,France,T&
Azul,AZU,AD,Brazil,
LSM Airlines,LOO,PQ,Russia,slowbird
LionXpress,LIX,C4,Cameroon,LIX
Fly Dubai,FDB,FZ,United Arab Emirates,
Domenican Airlines,MDO,D1,Dominican Republic,Domenican
Aereonautica militare,AXZ,JY,Italy,
LSM AIRLINES,YZZ,YZ,Russia,Moscow frog
Aero Lloyd (YP),AEF,YP,Germany,
Zabaykalskii Airlines,ZZZ,ZP,Russia,Lakeair
Marysya Airlines,1QA,M4,Russia,MARSHAK AIR
Zuliana de Aviacion,ULA,OD,Venezuela,
Black Stallion Airways,BSA,BZ,United States,Stallion
German International Air Lines,GER,GM,Germany,
TrasBrasil,TBZ,TB,Brazil,
TransBrasil Airlines,THS,TH,Brazil,
Air Mekong,MKG,P8,Vietnam,Air Mekong
Air Hamburg (AHO),AHO,HH,Germany,Air Hamburg
ZABAIKAL AIRLINES,ZTT,Z6,Russia,BAIKAL
TransHolding,THI,TI,Brazil,
Serbian Airlines,SA1,S1,Serbia,
TransHolding System,TYS,YO,Brazil,
CCML Airlines,CCC,CB,Colombia,
Fly Brasil,FBL,F1,Brazil,FBL
CB Airways UK ( Interliging Flights ),CIF,1F,United Kingdom,
Fly Colombia ( Interliging Flights ),3FF,3F,Colombia,
Trans Pas Air,TP6,T6,United States,
Himalayan Airlines,HYM,HC,Nepal,Himalayan
Indya Airline Group,IG1,G1,India,Indya1
Japan Regio,ZXY,ZX,Japan,
Sky Regional,SKV,RS,Canada,Sky Regional
LSM International,UWW,II,Russia,moose
Baikotovitchestrian Airlines,BUU,BU,American Samoa,
Luchsh Airlines,LJJ,L4,Russia,russian sky
Mongolian International Air Lines,ZTF,7M,Mongolia,Mongol_AIr
Tway Airlines,TWB,TW,South Korea,TWAY AIR
Jusur airways,JSR,JX,Egypt,
NEXT Brasil,NXB,XB,Brazil,XB
AeroWorld,WER,W4,Russia,sovet
Usa Sky Cargo,ES2,E1,United States,USKY
Hankook Airline,HNX,HN,South Korea,HNX
Hellenic Airways,HEY,1H,Greece,Hellenic
Sprintair,SRN,,Poland,
Marusya Airways,MRS,Y8,Russia,snowball
Era Alaska,ERR,7H,United States,ERAH
AirRussia,RRJ,R8,Russia,russiancloud
Hankook Air US,HA1,H1,United States,
Canadian World,CNN,10,Canada,Canadian
I-Fly,RSY,H5,Russia,RUSSIAN SKY
Kar-Air,KAR,,Finland,
VickJet,VKJ,KT,France,Vickjet
Hamburg Airways,HAY,,Germany,
Salsa d\\'Haiti,SLC,SO,Haiti,SALSA
Air Explore,AXE,,Slovakia,
TROPICAL LINHAS AEREAS,TP3,T1,Brazil,
12 North,N12,12,India,12N
Air Bucharest,BUR,,Romania,
AlbaStar,LAV,,Spain,
Mauritania Airlines International,MAI,L6,Mauritania,
MAT Airways,MKD,6F,Macedonia,
Asian Wings Airways,AWM,AW,Burma,Asian Star
Air Arabia Egypt,RBG,E5,Egypt,
Orchid Airlines,ORC,OI,Australia,
Asia Wings,AWA,Y5,Kazakhstan,
Nile Air,NIA,NP,Egypt,NILEBIRD
Senegal Airlines,SGG,DN,Senegal,
Copenhagen Express,CX0,0X,Denmark,Copex
BusinessAir,BCC,8B,Thailand,
Sky Wing Pacific,CR7,C7,South Korea,
Air Indus,AI0,PP,Pakistan,AIPL
Samurai Airlines,770,07,Pakistan,Sam
AirOne Continental,000,00,Slovakia,Eastern
AirOne Polska,001,U1,Poland,AOC
Malaysia Wings,MWI,,Malaysia,MWI
Aviabus,ABI,U1,Russia,
Michael Airlines,MJG,DF,Puerto Rico,MJG
Korongo Airlines,KGO,ZC,Congo (Kinshasa),KORONGO
Indonesia Sky,IDS,I5,Indonesia,
Aws express,666,B0,United States,aws
Southjet,SJS,76,United States,
Southjet connect,ZCS,77,United States,
Southjet cargo,XAN,78,United States,
Iberia Express,IBS,I2,Spain,
Nordic Global Airlines,NGB,NJ,Finland,Nordic Global
Scoot,SCO,TZ,Singapore,
Starling Airlines Spain,STS,SX,Spain,STARLING
Zenith International Airline,ZNA,ZN,Thailand,ZENITH
Orbit Airlines Azerbaijan,OAB,O1,Azerbaijan,Orbitaz
RusJet,RSJ,,Russia,
VietJet Air,VJC,,Vietnam,VIETJETAIR
Vision Airlines (V2),RBY,V2,United States,RUBY
AirAsia Japan,WAJ,,Japan,WING ASIA
Yellowtail,YEL,YE,United States,
Royal Airways,RAW,KG,United States,RAW
FlyHigh Airlines Ireland (FH),FHI,FH,Ireland,FLYHIRELAND
Hebei Airlines,HBH,,China,Hebei Air
Air KBZ,KBZ,,Burma,Air KBZ
T.J. Air,TJA,TJ,United States,T.J. Air
ValueJet,VJA,J7,United States,CRITTER
CheapFlyingInternational,FQR,WL,France,cheapflying
AirOne Atlantic,AO1,00,Slovakia,
Nesma Airlines,NMA,,Egypt,Nesma Airlines
Royal Southern Airlines.,RS1,R1,Colombia,RSA
Rotana Jet,RJD,,United Arab Emirates,ROTANA
SOCHI AIR CHATER,QER,Q3,Russia,russian doll
Malindo Air,MXD,OD,Malaysia,Malindo
Tramm Airlines,TLM,9F,Netherlands Antilles,9F
3 Valleys Airlines,VA3,3V,France,3 Valleys
Maryland Air,M1F,M1,United States,Maryland Flight
VivaColombia,VVC,5Z,Colombia,
Flybe Finland Oy,FCM,,Finland,FINNCOMM
Bingo Airways,BGY,,Poland,
Bluebird Airways (BZ),BBG,,Greece,
Apache Air,IWA,ZM,United States,APACHE
Jettor Airlines,JTO,NR,Hong Kong,JETHAPPY
GoDutch,GOD,GD,Netherlands,
Deutsche Luftverkehrsgesellschaft,DLT,DW,Germany,
Golden Myanmar Airlines,GMR,,Burma,Golden Myanmar
Canaryfly,CNF,,Spain,
Sunrise Airways,KSZ,,Haiti,
National Air Cargo,NCR,N8,United States,
Eastern Atlantic Virtual Airlines,EAV,13,United States,EAVA
Gulisano airways,GU1,GU,Italy,
Caribbean Wings,ZYZ,XP,Turks and Caicos Islands,caribbean Wings
Snowbird Airlines,SBD,S8,Finland,
Kharkiv Airlines,KHK,KH,Ukraine,
XAIR USA,XAU,XA,United States,XAIR
Global Freightways,GF5,F5,United States,Freight
XPTO,XPT,XP,Portugal,XPTO
Yeti Airlines,NYT,,Nepal,
Avilu,...,..,Switzerland,
Air Serbia,ASL,JU,Serbia,AIR SERBIA
Air Lituanica,LTU,LT,Lithuania,LITUANICA
Envoy Air,ENY,,United States,Envoy
Rainbow Air (RAI),RAB,RN,United States,Rainbow
Rainbow Air Canada,RAY,RY,Canada,Rainbow CAN
Rainbow Air Polynesia,RPO,RX,United States,Rainbow Air
Rainbow Air Euro,RUE,RU,United Kingdom,Rainbow Air
Rainbow Air US,RNY,RM,United States,Rainbow Air
Dobrolet,DOB,QD,Russia,DOBROLET
Spike Airlines,SAL,S0,United States,Spike Air
Grand Cru Airlines,GCA,,Lithuania,
Go2Sky,RLX,,Slovakia,RELAX
All Argentina,AL1,L1,Argentina,
All America,AL2,A2,United States,
All Asia,AL3,L9,China,
All Africa,99F,9A,South Africa,
Regionalia México,J88,N4,Mexico,
All Europe,N99,N9,United Kingdom,
All Spain,N77,N7,Spain,
Regional Air Iceland,N78,9N,Iceland,
British Air Ferries,??!,??,United Kingdom,
Voestar,K88,8K,Brazil,
All Colombia,7KK,7O,Colombia,
Regionalia Uruguay,2K2,2X,Uruguay,
Regionalia Venezuela,9XX,9X,Venezuela,
Regionalia Chile,CR1,9J,Chile,
Vuela Cuba,6CC,6C,Cuba,
All Australia,8K8,88,Australia,
Fly Europa,RWW,ER,Spain,
FlyPortugal,FPT,PO,Portugal,FlyPortugal
Spring Airlines Japan,SJO,IJ,Japan,
Dense Airways,DWA,KP,United States,DENSE
Dense Connection,DC2,KZ,United States,DC2
Vuola Italia,VI4,4S,Italy,
Fly Jamaica Airways,FJM,,Jamaica,Greenheart
All Argentina Express,Z9H,Z0,Argentina,
All America AR,M7A,2R,Argentina,
All America CL,R1R,1R,Chile,
SOCHI AIR EXPRESS,SAE,Q4,Russia,ADLER EXPRESS
All America BR,A9B,1Y,Brazil,
FRA Air,X9F,X9,Germany,FA
Volotea Costa Rica,VC9,9V,Costa Rica,
Fly Romania,OTJ,X5,Romania,TENDER AIR
All America CO,7ZC,0Y,Colombia,
All America MX,0MM,0M,Mexico,
FOX Linhas Aereas,FOX,FX,Brazil,
Wings of England,"..,",EX,United Kingdom,
Via Conectia Airlines,CZV,6V,Uruguay,
Pobeda,PBD,,Russia,POBEDA
City Airways,GTA,E8,Thailand,CITY AIR
Norwegian Long Haul AS,NLH,DU,Norway,NORSTAR
TransNusa Air,TNU,M8,Indonesia,TRANSNUSA
Tomp Airlines,T9P,ZT,Chile,
Fuzhou Airlines,FZA,,China,
Sky Angkor Airlines (ZA),SWM,,Cambodia,SKY ANGKOR
Global Airlines,GA0,0G,Argentina,
Mann Yadanarpon Airlines,MYP,,Burma,MANN ROYAL
Air Vistara,VTI,UK,India,
TransRussiaAirlines,RGG,1E,Russia,
REXAIR VIRTUEL,RXR,RR,France,Rexair
WestJet Encore,WEN,WR,Canada,Encore
Air Pegasus,PPL,OP,India,
International Europe,INE,9I,Spain,
Sky Regional Airlines,SKV,,Canada,Maple
V Air,VAX,ZV,Taiwan,
Naka Nihon Airlines Service,ALS,NV,Japan,
Boutique Air (Priv),BTQ,4B,United States,
FlyEgypt,FEG,,Egypt,
VOLOTEA Airways,VOE,V7,Spain,
Aguilar Connect,GUI,3X,Chile,Moonexpress
ROYAL BRITAIN,ROB,7V,United Kingdom,
INAVIA Internacional,IIR,Z5,Argentina,
Liberty Airways,LTY,LE,United States,
Bassaka airlines,BSX,5B,Cambodia,5B
Jetstar Japan,JJP,,Japan,ORANGE LINER
AtlasGlobal Ukraine,UJX,,Ukraine,Atlas Ukraine
Boliviana de Aviacion (OB),BOV,,Bolivia,BOLIVIANA
US-Bangla Airlines,UBG,,Bangladesh,
VIA Líneas Aéreas,VIA,V1,Argentina,
Palair Macedonia,PMK,3D,Macedonia,
GermanXL,GXG,GX,Germany,
Indonesa Air Aisa X,IDX,,Indonesia,Red Phoenix
Fly France,FRF,FF,France,
Europe Jet,EU9,EX,France,
Deutsche Luftverkehrsgesellschaft (DLT),DWD,DW,Germany,
World Scale Airlines,WSS,W3,United States,
All America US,SSA,AG,United States,
Aruba Airlines,ARU,,Aruba,
BudgetAir,BG1,1K,Germany,
Dynamic Airways,DYA,,United States,
Fly One,FI5,F5,Moldova,
Tez Jet Airlines,TEZ,,Kyrgyzstan,
ViaAir,SRY,,United States,Stingray
All America BOPY,PYB,0P,Paraguay,BOPY
Thai Vietjet Air,TVJ,,Thailand,THAIVIET JET
Air Andaman (2Y),AOW,2Y,Thailand,AIR ANDAMAN
GX Airlines,CBG,,China,SPRAY
Svyaz Rossiya,SJM,7R,Russia,RussianConnecty
OAG,ABC,CR,,
Compass Cargo Airlines,ADZ,,,
Africa Airways,AFF,VJ,,
Amakusa Airlines,AHX,MZ,,
Vista Georgia,AJD,GT,,
Akasa Air,AKJ,QP,,
Yanair,ANR,YE,,
Air Peace,APK,P4,,
Air Premia,APZ,YP,,
Anima Wings,AWG,A2,,
Zimex Aviation Austria,AZD,,,
Azimut,AZO,A4,,
Benair,BDI,,,
Brussels Airlines,BEL,SN,,
Binter Canarias,BIX,NT,Spain,BINTER
Beijing Airlines,BJN,CA,,
Air Sicilia,BM,BM,,
Blue Air,BMS,0B,,
Star Air Cargo,BRH,,,
Bairline,BRJ,,,
Buthan Airlines,BTN,B3,,
Bul Air,BVL,,,
Beijing Capital Airlines,CBJ,JD,,
Dalian Airlines,CCD,CA,,
Loong Air,CDC,GJ,,
Cargoair,CGF,,,
Colorful Guizhou Airlines,CGZ,GY,,
China Air Cargo,CHY,ZY,,
Jetlines,CJL,AU,,
Jiangxi Air,CJX,RY,,
Islands Nationair,CN,CN,,
Air China Inner Mongolia,CNM,CA,,
21 Air,CSB,2I,,
China Southern Airlines Cargo,CSG,CZ,,
SF Airlines,CSS,O3,,
Tianjin Air Cargo,CTJ,HT,,
Citrus Airlines,CTU,,,
Urumqi Air,CUH,UQ,,
AsiaCargo Express,CXM,3G,,
Asian Air,DEX,DM,,
Diamond Sky,DMS,,,
Aero Dili,DTL,8G,,
Divi Divi Air,DVR,,,
Arajet,DWI,DM,,
Linea Aerea Eco Jet S.A.,ECO,8J,,
Endeavor Air,EDV,9E,,
Eagle Air,EFL,,,
