locode,name,country_code,function,lat,lon,status
AQABA,Aboa,AQ,1-------,-73.05,-13.4167,RL
AQARC,Arctowski,AQ,1-------,-62.15,-58.4667,RL
AQART,Artigas,AQ,1-------,-62.1833,-58.9,RL
AQAPT,Arturo Prat,AQ,1-------,-62.5,-59.6833,RL
AQBHN,Bellingshausen,AQ,1-------,-62.1833,-58.95,RL
AQCAS,Casey Station,AQ,1-------,-66.2833,110.5167,RL
AQCFZ,Comandante Ferraz,AQ,1-------,-62.0833,-58.3833,RL
AQDAV,Davis Station,AQ,1-------,-68.5667,77.9667,RL
AQDDU,Dumont d'Urville Station,AQ,1-------,-66.65,140.0,RL
AQESC,Escudero,AQ,1-------,-62.2,-58.95,RL
AQESP,Esperanza,AQ,1-------,-63.3833,-56.9833,RL
AQOHG,General Bernardo O'higgins,AQ,1-------,-63.3167,-57.9,RL
AQGWL,Great Wall,AQ,1-------,-62.2167,-58.9667,RL
AQHLY,Halley,AQ,1-------,-75.5667,-26.5333,RL
AQJBS,Jang Bogo Station,AQ,1-------,-74.6,164.2,RL
AQJCP,Juan Carlos Primero,AQ,1-------,-62.65,-60.3833,RL
AQJUB,Jubany,AQ,1-------,-62.2333,-58.65,RL
AQKSG,King Sejong,AQ,1-------,-62.2167,-58.7833,RL
AQKHN,Kohnen,AQ,1-------,-75.0,0.0667,RL
AQLAW,Law Base,AQ,1-------,-69.3833,76.3833,RL
AQMRB,Marambio,AQ,1-------,-64.2333,-56.65,RL
AQMZU,Mario Zucchelli,AQ,1-------,-74.6833,164.1167,RL
AQMAW,Mawson Station,AQ,1-------,-67.6,62.8667,RL
AQMCM,McMurdo,AQ,1--4----,-77.8333,166.6667,RL
AQMIR,Mirny,AQ,1-------,-66.55,93.0,RL
AQORC,Orcadas,AQ,1-------,-60.7333,-44.7333,RL
AQPLM,Palmer,AQ,1-------,-64.7667,-64.05,RL
AQPFS,Port Foster,AQ,1-------,-63.0,-60.5667,RL
AQPRO,Progress,AQ,1-------,-69.4,76.3833,RL
AQROT,Rothera,AQ,1-------,-67.5667,-68.1167,RL
AQSMT,San MartÃ­n,AQ,1-------,-68.1167,-67.1,RL
AQSGN,Signy,AQ,1-------,-60.7167,-45.6,RL
AQSYW,Syowa,AQ,1-------,-69.0,39.5833,RL
AQVKY,Vernadsky,AQ,1-------,-65.2333,-64.25,RL
AQWSA,Wasa,AQ,1-------,-73.05,-13.4167,RL
AQZGN,Zhongshan,AQ,1-------,-69.3667,76.3833,RL
ARGEO,Agrelo,AR,1-------,-33.1167,-68.8833,RL
ARACF,Arrecifes,AR,123-----,-34.0833,-60.1167,RL
ARASO,Arroyo Seco,AR,1-------,-33.1333,-60.4333,RQ
ARBHI,BahÃ­a Blanca,AR,1--4----,-38.7167,-62.2833,AI
ARBQS,Barranqueras,AR,1-------,,,AI
ARBVC,Bella Vista,AR,1----6--,-28.5,-59.05,RQ
ARBUE,Buenos Aires,AR,12345---,-34.5833,-58.6667,AI
ARCSA,Cabo San Antonio,AR,1-------,-36.0333,-56.5667,RQ
ARCLC,Caleta CÃ³rdoba,AR,1-------,-45.7333,-67.0667,AI
ARCVI,Caleta Olivia,AR,1--4----,,,AI
ARCMP,Campana,AR,1-------,-34.15,-58.95,AI
ARCDL,Candelaria,AR,1-------,-27.45,-55.75,RQ
ARCHO,Chilecito,AR,1----6--,-29.1667,-67.5,RL
ARCBS,Chimbas,AR,1----6--,-31.4833,-68.5333,RL
ARCHL,Choele Choel,AR,1----6--,,,RL
ARCOL,ColÃ³n,AR,1-------,-32.2167,-58.1333,AI
ARCRY,Colonia Caroya,AR,1----6--,,,RL
ARCRD,Comodoro Rivadavia,AR,1--4----,,,AI
ARCOU,ConcepciÃ³n del Uruguay,AR,1-------,-32.4833,-58.2333,AI
ARIQO,Coquimbito,AR,1-------,-32.9667,-68.75,RL
ARCNQ,Corrientes,AR,1--4----,,,AI
ARCUA,Cuatreros/Bahia Blanca,AR,1-------,,,AI
ARDGU,Del Guazu,AR,1-------,-33.9,-58.8667,RQ
ARDME,Diamante,AR,1-------,-32.0667,-60.65,AI
ARDSU,Dock Sur,AR,1-3-----,-34.65,-58.3333,RL
ARFMA,Formosa,AR,1--4----,,,AI
AROYA,Goya,AR,1--4----,,,AI
ARGHU,GualeguaychÃº,AR,1--4----,-33.0167,-58.5167,AI
ARIBY,Ibicuy,AR,1-------,-33.7333,-59.1667,AI
ARBUI,Ingeniero Buitrago,AR,1-------,-33.35,-60.1333,RL
ARINW,Ingeniero White/Bahia Blanca,AR,1-3-----,-38.7833,-62.2667,RL
ARJLS,Jose Leon Suarez,AR,1-------,,,RQ
ARLPM,La Paz,AR,1----6--,-33.4667,-67.55,RL
ARLPG,La Plata,AR,1--4----,-34.85,-57.8833,AI
ARLPS,Las Palmas,AR,123-----,-34.0167,-59.1167,RL
ARLAV,Lavalle,AR,1----6--,-28.2,-65.1333,RL
ARLUJ,LujÃ¡n,AR,123-----,-34.5667,-59.1,RL
ARLCU,Lujan de Cuyo,AR,1----6--,-33.05,-68.8667,RL
ARLZG,Luzuriaga,AR,1----6--,-32.95,-68.8167,RL
ARMDQ,Mar del Plata,AR,1-345---,-38.05,-57.5333,AI
ARNOS,Molinos,AR,1-------,-25.4167,-66.3167,RL
ARNEC,Necochea,AR,1--4----,,,AI
AROVI,OlavarrÃ­a,AR,123-----,-36.8833,-60.3333,RL
ARPP9,Pablo PodestÃ¡,AR,1-3-----,-34.6,-58.5167,RL
ARPRA,ParanÃ¡,AR,1--4----,-31.7333,-60.5333,AI
ARPCY,Pilcomayo,AR,1-------,,,AI
ARPSS,Posadas,AR,1--4----,,,AI
ARPAL,Puerto Alumbrera,AR,1-------,-32.65,-60.75,RQ
ARPBG,Puerto Belgrano/Bahia Blanca,AR,1-------,,,AI
ARPUB,Puerto Borghi,AR,1-------,,,RQ
ARPUD,Puerto Deseado,AR,1--4----,-47.75,-65.9,AI
ARPEL,Puerto Eldorado,AR,1-------,-26.35,-54.6833,RQ
ARPGV,Puerto Galvan/Bahia Blanca,AR,1-------,,,AI
ARROC,Puerto Ingeniero M. Rocca,AR,1-------,-34.85,-57.9333,RQ
ARPLA,Puerto Lavalle,AR,1-------,-29.0167,-59.1833,RQ
ARPMY,Puerto Madryn,AR,1--4----,-42.75,-65.0333,AI
ARPNL,Puerto Nacional/Bahia Blanca,AR,1-------,,,AI
ARPRS,Puerto Rosales/Bahia Blanca,AR,1-------,-38.9333,-62.0667,AI
ARPWA,Puerto Wanda,AR,1-------,-25.9667,-54.6,RQ
ARPCO,Punta Colorada,AR,1-3-----,-41.7,-65.0,RL
ARPLO,Punta Loyola,AR,1-------,,,RQ
ARPME,Punta Medanos,AR,1-------,-36.8333,-56.6667,RQ
ARPQU,Punta Quilla,AR,1-------,,,RQ
ARQBR,Quebracho/San Lorenzo,AR,1-3-----,-32.65,-60.7167,RL
ARQQN,QuequÃ©n,AR,1-------,-38.5333,-58.7,AI
ARRAM,Ramallo,AR,1-------,,,RQ
ARRWO,Rawson,AR,123-----,-43.3,-65.1,RL
ARRSF,Resinfor,AR,1-------,-32.65,-60.7333,RQ
ARRIC,Rio Cullen,AR,1-------,-52.8,-68.1833,RQ
ARRGL,RÃ­o Gallegos,AR,1--4----,-51.6333,-69.2167,AI
ARRGA,RÃ­o Grande,AR,1--4----,-53.7833,-67.7,AI
ARRIV,Rivadavia,AR,1----6--,-33.1833,-68.4667,RL
ARROS,Rosario,AR,12345---,-32.95,-60.65,AI
ARRFO,Rosario de la Frontera,AR,123-----,-25.8,-64.9667,RL
ARSAL,Salto,AR,1----6--,,,RL
ARSAE,San Antonio Este,AR,1-------,-40.8,-64.7333,RQ
ARSCA,San Carlos,AR,1----6--,-33.7667,-69.0333,RL
ARSFE,San Fernando,AR,1-------,,,RQ
ARSIG,San Ignacio,AR,1-------,-27.2667,-55.5667,RQ
ARULA,San Julian,AR,1--4----,-49.3,-67.7167,AI
ARSLO,San Lorenzo,AR,1-------,,,AI
ARSMA,San Martin,AR,1-------,-32.7167,-60.7333,RQ
ARSMR,San Martin,AR,1----6--,-33.0667,-68.4667,RL
ARSNS,San NicolÃ¡s de los Arroyos,AR,1234----,-33.3333,-60.2333,AI
ARSPD,San Pedro,AR,1-3-----,-33.6833,-59.1667,RL
ARXPD,San Pedro,AR,1--4----,,,AI
ARSSJ,San Salvador de Jujuy,AR,123-5---,-24.1833,-65.3,RL
ARSSN,San SebastiÃ¡n,AR,1-------,-53.3,-68.4667,AI
ARSAN,Santa Ana,AR,1-------,-27.3333,-55.5833,RQ
ARRZA,Santa Cruz,AR,1--4----,-50.0167,-68.4167,AI
ARSFN,Santa Fe,AR,1234----,-31.6,-60.6833,AI
ARSTA,Santa Rosa,AR,1----6--,-33.25,-68.15,RL
ARTIM,TimbÃºes,AR,123-----,-32.6333,-60.7833,AM
AROYO,Tres Arroyos,AR,1-34----,-38.3833,-60.2833,AI
ARTUC,TucumÃ¡n,AR,1--4----,-26.8167,-65.2167,AI
ARTUN,Tunuyan,AR,1----6--,-33.5667,-69.0167,RL
ARURD,Urdurrain,AR,1-3-----,-32.6833,-58.8833,RQ
ARUSH,Ushuaia,AR,1--4----,-54.8,-68.3,AI
ARVLO,Vicente LÃ³pez,AR,123-----,-34.5167,-58.4833,RL
ARVCN,Villa ConstituciÃ³n,AR,123-----,-33.2333,-60.3333,AI
ARVTT,Villa del Totoral,AR,1----6--,,,RL
ARVHE,Villa Hernandarias,AR,1-------,-31.2333,-59.9833,RQ
ARVMD,Villa Mercedes,AR,1----6--,,,RL
ARZAE,ZÃ¡rate,AR,1-------,-34.1,-59.0333,AI
ASPPG,Pago Pago,AS,1--45---,14.2667,-170.7,AI
ATFG7,Achau,AT,1----6--,48.6667,-162.5,RQ
ATAWH,AltenwÃ¶rth,AT,1-3-----,48.3833,15.85,RL
ATATN,Asten,AT,123-----,48.2167,14.4,RL
ATSXA,Bernhardsthal,AT,1-3-----,48.6833,16.8667,RL
ATBFS,Bischofshofen,AT,123-----,47.4167,13.2167,RL
ATBOE,BÃ¶hlerwenk,AT,123-----,47.9833,14.75,RL
ATBRZ,Bregenz,AT,123-----,47.5,9.7667,RL
ATDWA,Deutsch Wagram,AT,123-----,48.3,16.5667,RL
ATDKZ,Deutschkreutz,AT,1----6--,47.6,16.6333,RL
ATERR,Dobermannsdorf,AT,1-------,48.6,16.8167,RL
ATNNN,Donnerskirchen,AT,1-------,47.9,16.6333,RL
ATDRA,Drasenhofen,AT,1----6--,48.75,-16.65,RQ
ATDRO,Dross,AT,1-3-----,48.45,15.5667,RL
ATDUE,DÃ¼rnstein,AT,123-----,48.3833,15.5167,RL
ATEBR,Ebreichsdorf,AT,1-3-----,47.95,16.4,RL
ATEWD,Eibiswald,AT,1----6--,46.6833,15.8333,RL
ATBRI,Engabrunn,AT,1-------,48.45,15.75,RL
ATERO,Engelmannsbrunn,AT,1-3-----,48.45,15.8833,RL
ATDFC,Engerwitzdorf,AT,1-3-----,48.35,14.45,RL
ATERL,Erl,AT,1-3--6--,47.6667,12.1667,RL
ATEPD,Erpersdorf,AT,1-3-----,48.3333,15.9,RL
ATFSU,Faistenau,AT,1-3-----,47.7667,13.2167,RL
ATLKN,Falkenstein,AT,1-------,48.7167,13.5833,RL
ATFHR,Fehring,AT,1-3--6--,46.9333,16.0,RL
ATFNA,Freudenau,AT,1-3-----,48.1833,16.4333,RQ
ATFPS,Fulpmes,AT,1-3-----,47.15,11.35,RL
ATRTV,Gallbrunn,AT,1----6--,,,RL
ATGA6,Gamlitz,AT,1----6--,46.7167,15.55,RL
ATGDN,Gmunden,AT,123-----,47.9167,13.8,RL
ATGFS,Greifenstein,AT,123-----,48.3333,16.2333,RL
ATGRN,Grein,AT,123-----,48.2167,14.8333,RL
ATSWH,Gross-Schweinbarth,AT,1-3-----,48.4,16.6167,RL
ATGSN,Gutenstein,AT,1-3-----,47.8667,15.8833,RL
ATDOF,Hadersdorf,AT,1-------,48.45,15.7167,RL
ATHKM,Hadersdorf-Kammern,AT,1-3-----,48.45,15.7167,RL
ATLTX,Hainfeld,AT,1-3-----,48.0333,15.7667,RL
ATGHH,Haugsdorf,AT,1-------,48.7,16.0667,RL
ATITN,Hausleiten,AT,1-------,48.3833,16.1,RL
ATTEN,Hausmannstatten,AT,1-------,46.9833,15.5,RL
ATBNN,Hobersbrunn,AT,1-------,48.5,16.5667,RL
ATEIN,Hoflein,AT,1-------,48.0667,16.7833,RL
ATZIN,Inzersdorf an der Traisen,AT,1-------,48.3167,15.6667,RL
ATJPS,Japons,AT,1----6--,48.7833,15.5667,RL
ATZLF,Jetzelsdorf,AT,1-------,48.7,16.05,RL
ATJDD,Judendorf,AT,1----6--,47.1167,15.35,RL
ATKAM,Kammern im Liesingtal,AT,123-----,47.4,14.9,RL
ATKTT,Kematen in Tirol,AT,123--6--,47.25,11.2667,RL
ATZRF,Ketzelsdorf,AT,1-------,48.65,16.65,RL
ATKFD,Knittelfeld,AT,123-----,47.2,14.8167,RL
ATKMB,Krummnussbaum,AT,123--6--,48.2167,15.1667,RL
ATGHJ,Krustetten,AT,1----6--,48.3667,-154.0,RL
ATLZD,Langenzersdorf,AT,123-----,48.3,16.35,RL
ATLUA,Lembach,AT,1-3-----,48.4833,13.8833,RL
ATLTS,Leutschach,AT,1----6--,46.6667,15.4667,RL
ATIEG,Limberg,AT,1-------,48.5833,15.8667,RL
ATMAN,Manning,AT,1-3-----,48.0833,13.6667,RL
ATMAB,Marbach an der Donau,AT,123-----,48.2167,15.15,RL
ATMKA,Markt Allhau,AT,1----6--,47.2333,16.0833,RL
ATMKC,Mitterkirchen,AT,1-3-----,48.1833,14.7,RL
ATMBS,Morbisch am See,AT,1----6--,47.75,16.6667,RL
ATNT9,Muthmannsdorf,AT,1-3-----,47.8333,16.1,RL
ATNGG,Neudegg,AT,1----6--,48.4833,15.8833,RL
ATNFN,Neufelden,AT,123-----,48.4833,13.9833,RL
ATNAD,Neuhofen an der Ybbs,AT,1-3-----,48.05,14.85,RL
ATND2,Nickelsdorf,AT,1----6--,47.9333,17.0667,RL
ATNUZ,NÃ¼ziders,AT,123-----,47.1833,9.8,RL
ATOBU,Oberneukirchen,AT,1-------,,,RQ
ATXAE,Oehling,AT,1-3-----,48.1,14.8,RL
ATGGU,Oggau,AT,1-------,47.8333,16.6667,RL
ATOSH,Ottensheim,AT,123-----,48.3333,14.1833,RL
ATATK,Paternion,AT,1-3-----,46.7,13.6333,RL
ATPBU,Persenbeug,AT,123-----,48.1833,15.0667,RL
ATPET,Petzenkirchen,AT,1----6--,48.1333,15.15,RL
ATPAS,Podersdorf am See,AT,1-3-----,47.85,16.8333,RL
AT7PZ,Prinzersdorf,AT,1-3-----,48.2,15.5167,RL
ATRAD,Radstadt,AT,123-----,47.3833,13.45,RL
ATRHN,Ranshofen,AT,1-3-----,48.2333,13.0,RL
ATREG,Regau,AT,1----6--,48.0833,14.1333,RQ
ATETZ,Rietz,AT,1-------,47.2833,11.05,RL
ATXXX,RIS Inland waterways,AT,1-------,,,AI
ATRHR,Rohrau,AT,1----6--,48.0667,16.85,RL
ATRRF,Ruhrsdorf,AT,1-------,48.4,15.5,RL
ATSAK,Sankt Aegidi,AT,1-3-----,48.4833,13.75,RL
ATSGS,Sankt Georgen bei Salzburg,AT,123-----,47.9833,12.8833,RL
ATSMR,Sankt Margarethen an der Raab,AT,1-3-----,47.05,15.75,RL
ATSK3,Sankt Margrethen,AT,1----6--,46.6333,14.3833,RL
ATFBZ,Sankt Stefan ob Stainz,AT,1-------,46.9167,15.25,RL
ATSUH,Sankt Ulrich,AT,1----6--,48.6,16.7667,RL
ATSVM,Sankt Veit im MÃ¼hlkreis,AT,1-3-----,48.4667,14.15,RL
ATSMK,SchÃ¶nau im MÃ¼hlkreis,AT,1----6--,48.3833,14.7333,RL
ATTTL,Schrattenthal,AT,1-------,48.7,15.9,RL
ATSAG,Schutzen am Gebirge,AT,1----6--,47.85,16.6167,RL
ATSFT,Senftenberg,AT,1----6--,48.4333,15.55,RL
ATSPG,Spannberg,AT,1----6--,48.45,16.7333,RL
ATSPZ,Spitz,AT,123-----,48.3667,15.4167,RL
ATSTD,Steeg,AT,1-3-----,47.6,13.6333,RL
ATSSS,Steinberg,AT,1----6--,47.4833,16.4833,RL
ATSUS,Steinhaus,AT,1----6--,48.1167,14.0167,RL
ATST6,Straden,AT,1----6--,46.8,15.8667,RL
ATTAM,Tamsweg,AT,1----6--,47.1333,13.8,RL
ATTKP,Taufkirchen an der Pram,AT,123--6--,48.4167,13.5333,RL
ATTFS,Terfens,AT,123-----,47.3167,11.65,RL
ATTHS,Theiss,AT,1-3-----,48.3833,15.6833,RL
ATTMR,Traismauer,AT,123-----,48.3333,15.7333,RL
ATVEL,Velden,AT,123-----,46.6167,14.05,RL
ATERM,Vordernberg,AT,1-3-----,47.4667,15.0,RL
ATWSE,Wallsee,AT,1-3-----,48.1667,14.7167,RL
ATWEU,Weinburg,AT,1-------,48.1,15.5167,RL
ATWDF,Weitendorf,AT,1-3-----,46.8833,15.4667,RL
ATWUL,Wulkaprodersdorf,AT,1-3-----,47.8,16.5,RL
ATZNG,Zobing,AT,1-------,48.4833,15.6833,RL
AUABP,Abbot Point,AU,1-------,-19.9,148.0833,AC
AUALP,Abell Point,AU,1-3-----,-20.2667,148.7167,AC
AUADL,Adelaide,AU,12345---,-34.9167,138.5833,AC
AUAIR,Airlie Terminal,AU,1-------,-21.3333,115.1667,RL
AUALH,Albany,AU,1--4----,,,AC
AUALD,Aldgate,AU,1----6--,-35.0167,138.7333,RL
AUAMR,Amrun,AU,1-------,-12.9167,141.6167,AA
AUANN,Annandale,AU,1----6--,-33.8833,151.1667,RL
AUAPP,Applecross,AU,1----6--,-32.0167,115.8333,RL
AUARD,Ardrossan,AU,1-------,,,AC
AUAUA,Armadale,AU,1-------,-32.15,116.0,RL
AUDLP,Arndell Park,AU,123-----,-33.7833,150.8667,RL
AUASB,Ashburton,AU,1-3-----,-21.6833,115.0,AM
AUASH,Ashton,AU,1----6--,-34.9333,138.7333,RL
AUP6D,Aspendale,AU,1-3-----,-38.0333,145.1,RL
AUATT,Attadale,AU,1----6--,-32.0167,115.7833,RL
AUAGS,Augusta,AU,1-3-----,-34.3167,115.1667,RL
AUALI,Australind,AU,1-3-----,-33.2833,115.7167,RL
AUBAE,Baerami,AU,1----6--,-32.4,150.4833,RL
AUBAA,Balhannah,AU,1----6--,-34.9833,138.8333,RL
AUBAH,Ballast Head,AU,1-------,,,AC
AUBNK,Ballina,AU,1--4----,,,AC
AUBAL,Balnarring,AU,1----6--,-38.3667,145.1333,RL
AULME,Bangholme,AU,1-------,,,RQ
AUBNN,Bannockburn,AU,1----6--,-38.05,144.1667,RL
AUBWB,Barrow Island,AU,1--4----,,,AC
AUBAR,Barry Beach,AU,1-3-----,-38.7,146.3833,RQ
AUBRT,Bathurst Island,AU,1--4----,,,AI
AUBCH,Beachport,AU,1-------,,,AC
AUBYP,Beauty Point,AU,1-------,,,AC
AUBBL,Beelbangera,AU,1-------,-34.2667,146.1,RL
AUBEL,Bell Bay,AU,123-----,,,AC
AUBE9,Belrose,AU,1----6--,-33.7333,151.2167,RL
AUBVD,Belvidere,AU,1----6--,-35.3,138.9333,RL
AUBFD,Beresfield,AU,1----6--,-32.8,151.65,RL
AUBKE,Berkeley Vale,AU,1----6--,-33.35,151.4333,RL
AUBRR,Berrys Creek,AU,1----6--,-38.4167,146.0667,RL
AUBIC,Bicheno,AU,1----6--,-41.8667,148.2833,RL
AUBBG,Bing Bong,AU,1-------,-15.6,136.35,RL
AUBLP,Black Point,AU,1-------,-11.15,132.15,RL
AUTTS,Blackmans Bay,AU,1-3-----,-42.9833,147.3167,RL
AUBOV,Blacktip Terminal,AU,1-------,-14.4,129.35,RQ
AUBNY,Blayney,AU,123--6--,-33.5333,149.25,RL
AUBOB,Bobin,AU,1-----7-,-31.7167,152.2833,RL
AUBDY,Bomaderry,AU,1----6--,-34.85,150.6167,RL
AUBOO,Booby Island,AU,1-3-----,-10.6,141.9167,RL
AUBOD,Boondall,AU,1----6--,-27.3333,153.05,RL
AUBOT,Boort,AU,1----6--,-36.1167,143.7167,RL
AUVIB,Boronia,AU,1-------,,,RQ
AUBTB,Botany Bay,AU,1-------,,,AC
AUBOU,Boundary Bend,AU,1----6--,-34.7,143.15,RL
AUZBO,Bowen,AU,1--4----,,,AC
AUBOY,Boyer,AU,1----6--,-42.8333,147.3,RL
AUBBY,Bremer Bay,AU,1-3-----,-34.3833,119.3667,RL
AUBOL,Bridgewater-on-Loddon,AU,1----6--,-36.6,143.95,RL
AUBPO,Bridport,AU,1-3-----,-41.0,147.4,RL
AUBSA,Brighton-Le-Sands,AU,1----6--,-33.95,151.15,RL
AUBNE,Brisbane,AU,12345---,-27.4667,153.0167,AC
AUBMW,Broadmeadows,AU,1-------,,,AC
AUNSB,Broke,AU,1----6--,-32.75,151.1,RL
AUBME,Broome,AU,1--4----,,,AI
AUBUV,Buffalo Venture,AU,1-------,,,AC
AUBUL,Bulli,AU,1-3-----,-34.3,150.9167,RL
AUBLL,Bullsbrook,AU,1----6--,-31.6667,116.0,RL
